Merge <1871705.6636, 4972609.1262> and <1919114.7430,5044123.2430> to <1895410.2033, 5008366.1846>
Merge <8505786.0701, 4296353.9065> and <8605336.0935,4381943.8318> to <8555561.0818, 4339148.8692>
Merge <8800437.1636, 3798939.0841> and <8926741.1589,3938434.9486> to <8863589.1612, 3868687.0164>
Merge <3169069.6636, 7204295.5047> and <3242984.9907,7385131.8458> to <3206027.3271, 7294713.6752>
Merge <2894333.6729, 5439112.0093> and <3069715.8645,5552893.8738> to <2982024.7687, 5496002.9416>
Merge <6333625.1308, 8836956.9112> and <6416469.1589,8971734.2430> to <6375047.1449, 8904345.5771>
Merge <6121771.3925, 8044484.4206> and <6255666.5234,7794644.6355> to <6188718.9579, 7919564.5280>
Merge <6687740.2056, 4859424.1776> and <6846774.6776,4567252.5888> to <6767257.4416, 4713338.3832>
Merge <4598181.8411, 8680257.4252> and <4758604.6542,8973411.3084> to <4678393.2477, 8826834.3668>
Merge <8071417.5093, 9652237.5093> and <8232318.8832,9952871.0374> to <8151868.1963, 9802554.2734>
Merge <7679297.7991, 5866861.4065> and <7934954.7850,6150656.9299> to <7807126.2921, 6008759.1682>
Merge <7909825.2570, 7175332.3738> and <7977699.0000,7061920.0047> to <7943762.1285, 7118626.1893>
Merge <1451828.2710, 9193471.0467> and <1734096.1916,9455454.1776> to <1592962.2313, 9324462.6121>
Merge <261214.5187, 3872672.6215> and <674697.5140,3920115.6495> to <467956.0164, 3896394.1355>
Merge <8261725.8318, 2882665.6822> and <8460922.3364,3042258.9019> to <8361324.0841, 2962462.2921>
Merge <8046179.6589, 2933575.7570> and <8361324.0841,2962462.2921> to <8203751.8715, 2948019.0245>
Merge <629687.6308, 4521544.1355> and <824992.4346,4212129.0561> to <727340.0327, 4366836.5958>
Merge <7943762.1285, 7118626.1893> and <8233211.4579,7402620.3271> to <8088486.7932, 7260623.2582>
Merge <7093233.0935, 8865758.8318> and <7197909.8925,8492135.7336> to <7145571.4930, 8678947.2827>
Merge <6982528.0981, 1325137.5888> and <7289564.7523,1296555.4533> to <7136046.4252, 1310846.5210>
Merge <6501166.8364, 5069498.7804> and <6767257.4416,4713338.3832> to <6634212.1390, 4891418.5818>
Merge <4949148.4206, 2169017.0187> and <5367823.9533,2341063.4439> to <5158486.1869, 2255040.2313>
Merge <2576766.6916, 5690507.1402> and <2982024.7687,5496002.9416> to <2779395.7301, 5593255.0409>
Merge <4581804.4860, 6806801.2523> and <4711394.6075,6336769.0514> to <4646599.5467, 6571785.1519>
Merge <1515593.0654, 5349653.2009> and <1895410.2033,5008366.1846> to <1705501.6343, 5179009.6928>
Merge <4006262.7056, 9777318.8972> and <4485153.3084,9965294.4019> to <4245708.0070, 9871306.6495>
Merge <467956.0164, 3896394.1355> and <727340.0327,4366836.5958> to <597648.0245, 4131615.3657>
Merge <6481527.1729, 4367948.0841> and <6634212.1390,4891418.5818> to <6557869.6560, 4629683.3329>
Merge <5707081.4206, 8871937.1495> and <5802221.2850,9431224.8645> to <5754651.3528, 9151581.0070>
Merge <174471.3551, 5230216.6355> and <226431.6822,5817436.0654> to <200451.5187, 5523826.3505>
Merge <715970.5327, 7918607.3785> and <905714.4112,8067721.3271> to <810842.4720, 7993164.3528>
Merge <8203751.8715, 2948019.0245> and <8257440.7757,2342794.6168> to <8230596.3236, 2645406.8207>
Merge <1592962.2313, 9324462.6121> and <2210942.9486,9339520.3598> to <1901952.5900, 9331991.4860>
Merge <5620831.2290, 6743165.8505> and <6155979.6308,6980524.7664> to <5888405.4299, 6861845.3084>
Merge <8380849.2336, 3733236.4673> and <8555561.0818,4339148.8692> to <8468205.1577, 4036192.6682>
Merge <8947275.2243, 1205516.8598> and <9571637.3458,1071470.0467> to <9259456.2850, 1138493.4533>
Merge <7908109.5187, 3160103.9252> and <8230596.3236,2645406.8207> to <8069352.9211, 2902755.3730>
Merge <5946608.3318, 2176766.1636> and <6496905.9159,2100876.1028> to <6221757.1238, 2138821.1332>
Merge <8882339.7243, 7255405.4766> and <9526570.5421,7371144.1168> to <9204455.1332, 7313274.7967>
Merge <6775495.3738, 7476138.1589> and <6821562.6963,6822130.1682> to <6798529.0350, 7149134.1636>
Merge <9204455.1332, 7313274.7967> and <9218958.2850,6638399.3318> to <9211706.7091, 6975837.0643>
Merge <7303287.5187, 6473552.7196> and <7807126.2921,6008759.1682> to <7555206.9054, 6241155.9439>
Merge <5963701.8131, 4962224.0748> and <6557869.6560,4629683.3329> to <6260785.7345, 4795953.7039>
Merge <5754651.3528, 9151581.0070> and <6375047.1449,8904345.5771> to <6064849.2488, 9027963.2921>
Merge <1437080.2056, 6725853.6449> and <2101272.5093,6913615.0935> to <1769176.3575, 6819734.3692>
Merge <1116326.7523, 1543416.0888> and <1222172.3879,838594.0280> to <1169249.5701, 1191005.0584>
Merge <6064849.2488, 9027963.2921> and <6529101.1729,9625429.5981> to <6296975.2109, 9326696.4451>
Merge <825888.7710, 2114962.0841> and <1444386.0374,2646327.8785> to <1135137.4042, 2380644.9813>
Merge <8796082.9206, 9094025.7523> and <9603071.4813,9282081.9720> to <9199577.2009, 9188053.8621>
Merge <8863589.1612, 3868687.0164> and <9712207.5607,3942334.6449> to <9287898.3610, 3905510.8306>
Merge <8977539.9907, 5027159.5748> and <9745414.9439,4892231.7664> to <9361477.4673, 4959695.6706>
Merge <7145571.4930, 8678947.2827> and <8011068.1402,8825722.6449> to <7578319.8166, 8752334.9638>
Merge <6946644.0888, 6107173.8224> and <7555206.9054,6241155.9439> to <7250925.4971, 6174164.8832>
Merge <8906551.5280, 10024472.4533> and <9199577.2009,9188053.8621> to <9053064.3645, 9606263.1577>
Merge <3358510.9673, 9660543.0280> and <4245708.0070,9871306.6495> to <3802109.4871, 9765924.8388>
Merge <937842.9346, 3147389.5654> and <1135137.4042,2380644.9813> to <1036490.1694, 2764017.2734>
Merge <133627.1121, 6455681.9159> and <200451.5187,5523826.3505> to <167039.3154, 5989754.1332>
Merge <5888405.4299, 6861845.3084> and <6798529.0350,7149134.1636> to <6343467.2325, 7005489.7360>
Merge <6188718.9579, 7919564.5280> and <6343467.2325,7005489.7360> to <6266093.0952, 7462527.1320>
Merge <4991757.4486, 1295486.6729> and <5158486.1869,2255040.2313> to <5075121.8178, 1775263.4521>
Merge <9287898.3610, 3905510.8306> and <9361477.4673,4959695.6706> to <9324687.9141, 4432603.2506>
Merge <8468205.1577, 4036192.6682> and <9324687.9141,4432603.2506> to <8896446.5359, 4234397.9594>
Merge <8151868.1963, 9802554.2734> and <9053064.3645,9606263.1577> to <8602466.2804, 9704408.7155>
Merge <8088486.7932, 7260623.2582> and <8560963.0561,8134541.2009> to <8324724.9246, 7697582.2296>
Merge <1058831.4112, 9622522.0607> and <1901952.5900,9331991.4860> to <1480392.0006, 9477256.7734>
Merge <7196359.5794, 5101621.9065> and <7250925.4971,6174164.8832> to <7223642.5383, 5637893.3949>
Merge <5933303.5748, 1102713.7897> and <6221757.1238,2138821.1332> to <6077530.3493, 1620767.4614>
Merge <5075121.8178, 1775263.4521> and <6077530.3493,1620767.4614> to <5576326.0835, 1698015.4568>
Merge <8324724.9246, 7697582.2296> and <9211706.7091,6975837.0643> to <8768215.8169, 7336709.6469>
Merge <4678393.2477, 8826834.3668> and <5394122.9112,9971846.6262> to <5036258.0794, 9399340.4965>
Merge <2772962.2757, 8042453.0981> and <3206027.3271,7294713.6752> to <2989494.8014, 7668583.3867>
Merge <2564024.9860, 4010660.4252> and <3693987.8832,4155650.9907> to <3129006.4346, 4083155.7079>
Merge <6260785.7345, 4795953.7039> and <7223642.5383,5637893.3949> to <6742214.1364, 5216923.5494>
Merge <1705501.6343, 5179009.6928> and <2779395.7301,5593255.0409> to <2242448.6822, 5386132.3668>
Merge <6296975.2109, 9326696.4451> and <7578319.8166,8752334.9638> to <6937647.5137, 9039515.7044>
Merge <3129006.4346, 4083155.7079> and <2242448.6822,5386132.3668> to <2685727.5584, 4734644.0374>
Merge <1036490.1694, 2764017.2734> and <1169249.5701,1191005.0584> to <1102869.8697, 1977511.1659>
Merge <810842.4720, 7993164.3528> and <1769176.3575,6819734.3692> to <1290009.4147, 7406449.3610>
Merge <3910331.2477, 2119939.9019> and <5576326.0835,1698015.4568> to <4743328.6656, 1908977.6793>
Merge <7136046.4252, 1310846.5210> and <8069352.9211,2902755.3730> to <7602699.6732, 2106800.9470>
Merge <4646599.5467, 6571785.1519> and <6266093.0952,7462527.1320> to <5456346.3210, 7017156.1419>
Merge <167039.3154, 5989754.1332> and <597648.0245,4131615.3657> to <382343.6700, 5060684.7494>
Merge <1480392.0006, 9477256.7734> and <3802109.4871,9765924.8388> to <2641250.7439, 9621590.8061>
Merge <2685727.5584, 4734644.0374> and <382343.6700,5060684.7494> to <1534035.6142, 4897664.3934>
Merge <6937647.5137, 9039515.7044> and <5456346.3210,7017156.1419> to <6196996.9173, 8028335.9232>
Merge <8602466.2804, 9704408.7155> and <8768215.8169,7336709.6469> to <8685341.0486, 8520559.1812>
Merge <2989494.8014, 7668583.3867> and <1290009.4147,7406449.3610> to <2139752.1081, 7537516.3738>
Merge <2296621.4720, 2143636.9112> and <1102869.8697,1977511.1659> to <1699745.6709, 2060574.0386>
Merge <9259456.2850, 1138493.4533> and <7602699.6732,2106800.9470> to <8431077.9791, 1622647.2001>
Merge <8896446.5359, 4234397.9594> and <6742214.1364,5216923.5494> to <7819330.3362, 4725660.7544>
Merge <5036258.0794, 9399340.4965> and <2641250.7439,9621590.8061> to <3838754.4117, 9510465.6513>
